decision_date,return_date,router_valid,router_fallback_used,risk_fallback_used,desired_exposure,final_exposure,pretrade_exposure,turnover,ambiguity_cvar,asset_simple_return,portfolio_net_return,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5
2022-10-11,2022-10-12,True,False,False,0.38626203256640318,0.40000000000000002,0.39905152739683009,0.00094847260316993642,0.033526162859875155,0.0050212234575610637,0.0020075390054241637,0.61373796743359688,0.38626203256640318,0,0,0,0
2022-10-12,2022-10-13,True,False,False,0.3862176548571557,0.40000000000000002,0.40120267806369259,0.0012026780636925638,0.03352640854303509,0.011746402990373106,0.0046973528672289433,0.61378234514284435,0.3862176548571557,0,0,0,0
2022-10-13,2022-10-14,True,False,False,0.3863058790502174,0.40000000000000002,0.40280595277685405,0.002805952776854026,0.03352795806756885,-0.010216823703031008,-0.0040895239668192751,0.61369412094978271,0.3863058790502174,0,0,0,0
2022-10-14,2022-10-15,True,False,False,0.39478615429090608,0.40000000000000002,0.39753790037615411,0.0024620996238459147,0.033527625742177387,-0.0058962141196341467,-0.0023609419406509513,0.60521384570909387,0.39478615429090608,0,0,0,0
2022-10-15,2022-10-16,True,False,False,0.38845260617324434,0.40000000000000002,0.39858156324856719,0.0014184367514328278,0.03352661706835966,0.010131786645130481,0.0040512904727814103,0.61154739382675571,0.38845260617324434,0,0,0,0
2022-10-16,2022-10-17,True,False,False,0.39121076056277099,0.40000000000000002,0.40242181387424408,0.0024218138742440609,0.03352758680701743,0.01486353890322345,0.0059429793487253413,0.60878923943722907,0.39121076056277099,0,0,0,0
2022-10-17,2022-10-18,True,False,False,0.39623143155711466,0.40000000000000002,0.40354616590680836,0.0035461659068083407,0.033528673464871324,-0.011254233126323676,-0.0045052234526852253,0.6037685684428854,0.39623143155711466,0,0,0,0
2022-10-18,2022-10-19,True,False,False,0.40931201714320853,0.40000000000000002,0.39728676992014478,0.0027132300798552444,0.033527868453423003,-0.010570047909272406,-0.0042307209222000042,0.59068798285679147,0.40931201714320853,0,0,0,0
2022-10-19,2022-10-20,True,False,False,0.41441294027883591,0.40000000000000002,0.39745241727318453,0.0025475827268154894,0.033527708359438253,-0.00423553773027463,-0.0016967583586835477,0.5855870597211642,0.41441294027883591,0,0,0,0
2022-10-20,2022-10-21,True,False,False,0.39499085270650192,0.40000000000000002,0.39898174580310614,0.0010182541968938863,0.033526230302023771,0.0062858073087606048,0.0025133021090875118,0.6050091472934982,0.39499085270650192,0,0,0,0
2022-10-21,2022-10-22,True,False,False,0.39866999253433777,0.40000000000000002,0.40150481017538303,0.001504810175383009,0.03352670054609333,0.0022022063811799608,0.00087937641673563327,0.60133000746566234,0.39866999253433777,0,0,0,0
2022-10-22,2022-10-23,True,False,False,0.42809895759107464,0.45000000000000001,0.40052806436879418,0.049471935631205832,0.037763508015137982,0.019078563692410233,0.0085354569918896228,0.57190104240892548,0.42809895759107464,0,0,0,0
2022-10-23,2022-10-24,True,False,False,0.42416883503194658,0.40000000000000002,0.45468175003407391,0.054681750034073884,0.033578094715951932,-0.012247588293001987,-0.0049534491794103186,0.57583116496805353,0.42416883503194658,0,0,0,0
2022-10-24,2022-10-25,True,False,False,0.45604727988427635,0.45000000000000001,0.39704610758642223,0.052953892413577786,0.037766858646779686,0.038858857305434258,0.017432605917544919,0.5439527201157236,0.45604727988427635,0,0,0,0
2022-10-25,2022-10-26,True,False,False,0.44999408685886183,0.45000000000000001,0.45945228002281702,0.0094522800228170056,0.037724997736936904,0.034198588835166577,0.015379767231215036,0.55000591314113823,0.44999408685886183,0,0,0,0
2022-10-26,2022-10-27,True,False,False,0.47606285959041189,0.5,0.45833586703648921,0.041664132963510792,0.041946475863882081,-0.022947109944871036,-0.011514741069679091,0.52393714040958805,0.47606285959041189,0,0,0,0
