decision_date,return_date,strategy,forecast_regime,asset_simple_return,net_return,gross_return_before_cost,pretrade_btc_fraction,btc_fraction,cash_fraction,turnover,cost_fraction_pretrade_wealth,cost_paid_in_initial_wealth_units,wealth_before,wealth_after,running_peak_wealth,drawdown_from_running_peak
2022-07-07,2022-07-08,NO_MEMORY,bear,-0.0012293301537124,-0.00044195934021318273,-0.0004302655537993401,0.36169882001313886,0.35000000000000003,0.6499999999999999,0.011698820013138822,1.1698820013138823e-05,1.1256921602676501e-05,0.9622270955561305,0.9618018303038433,1.5365569825217902,0.37405391323311776
2022-07-08,2022-07-09,NO_MEMORY,bear,-0.0010966535870289,-0.000384108441062736,-0.00038382875546011505,0.34972020700474243,0.35000000000000003,0.6499999999999999,0.0002797929952575995,2.797929952575995e-07,2.691054149449537e-07,0.9618018303038433,0.9614323941021939,1.5365569825217902,0.37429434440869513
2022-07-09,2022-07-10,NO_MEMORY,bear,-0.0342837290098435,-0.011999551743093528,-0.011999305153445225,0.3497504155112473,0.35000000000000003,0.6499999999999999,0.00024958448875272987,2.495844887527299e-07,2.399586125523092e-07,0.9614323941021939,0.9498956363416784,1.5365569825217902,0.3818025317989092
2022-07-10,2022-07-11,NO_MEMORY,bear,-0.0424129627675393,-0.014852314055948446,-0.014844536968638756,0.34210572584571847,0.35000000000000003,0.6499999999999999,0.007894274154281566,7.894274154281566e-06,7.498736571236954e-06,0.9498956363416784,0.9357874880303568,1.5365569825217902,0.39098419474522395
2022-07-11,2022-07-12,NO_MEMORY,bear,-0.0316732788330528,-0.011095333356444304,-0.01108564759156848,0.3402056585059936,0.35000000000000003,0.6499999999999999,0.009794341494006431,9.794341494006431e-06,9.16542222358777e-06,0.9357874880303568,0.9254046138998704,1.5365569825217902,0.39774142812386915
2022-07-12,2022-07-13,NO_MEMORY,bear,0.0475456393649544,0.01663356607827282,0.01664097377773404,0.34271355409397125,0.35000000000000003,0.6499999999999999,0.007286445906028782,7.286445906028783e-06,6.742910660370857e-06,0.9254046138998704,0.9407973926943124,1.5365569825217902,0.38772372037236125
2022-07-13,2022-07-14,NO_MEMORY,bear,0.0165925925925924,0.006597415380455551,0.00663703703703696,0.3606395799840072,0.4,0.6,0.039360420015992825,3.936042001599283e-05,3.7030180526399076e-05,0.9407973926943124,0.9470042238827663,1.5365569825217902,0.38368427942805783
2022-07-14,2022-07-15,NO_MEMORY,bear,0.0116146895948703,0.004641901492692613,0.0046458758379481204,0.4039559663271914,0.4,0.6,0.0039559663271913625,3.955966327191363e-06,3.746316821388214e-06,0.9470042238827663,0.9514001242031939,1.5365569825217902,0.380823402564765
2022-07-15,2022-07-16,NO_MEMORY,bear,0.0184777023879838,0.007388285812748974,0.00739108095519352,0.40277463489355775,0.4,0.6,0.002774634893557726,2.774634893557726e-06,2.639787982349336e-06,0.9514001242031939,0.9584293402430919,1.5365569825217902,0.3762487488943481
2022-07-16,2022-07-17,NO_MEMORY,bear,-0.0200048090750075,-0.008006290516842762,-0.008001923630003,0.40440211220543193,0.4,0.6,0.004402112205431907,4.402112205431907e-06,4.219113496728165e-06,0.9584293402430919,0.9507558765052397,1.5365569825217902,0.3812426826209441
2022-07-17,2022-07-18,NO_MEMORY,bear,0.0837214225232854,0.03348356704602473,0.03348856900931416,0.3951601174514667,0.4,0.6,0.004839882548533347,4.839882548533348e-06,4.601546774613236e-06,0.9507558765052397,0.982590574640605,1.5365569825217902,0.3605244804992641
2022-07-18,2022-07-19,NO_MEMORY,bear,0.0392616466451802,0.015684911272426216,0.01570465865807208,0.4194420548113556,0.4,0.6,0.01944205481135558,1.944205481135558e-05,1.910357980928402e-05,0.982590574640605,0.9980024206209651,1.5365569825217902,0.3504943637150064
